"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_014_addCommentWithEmptyPicture","测试用例 - 014 测试用户头像为空字符串",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","5","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_002_addCommentWithNullID","测试用例 - 002 测试postID为null",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_011_addThemeWithLengthTwo","测试用例 - 011 输入的themeName和themePicture长度为2",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_025_addPostWithNullPicture","测试用例 - 025 图片链接为空",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_017_addThemeWithPictureMaxLength","测试用例 - 017 输入的themePicture长度等于2083",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_018_addPostWithEmptyContent","测试用例 - 018 内容为空字符串",""
"passed","Sun Jun 18 22:04:11 CST 2023","Sun Jun 18 22:04:13 CST 2023","1564","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_022_addCommentWithNameLength1","测试用例 - 022 测试用户名长度为1",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_015_addThemeWithNullName","测试用例 - 015 输入的themeName为null",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","3","","测试addComment","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddComment","test_003_addCommentWithNonExistingID","测试用例 - 003 测试ID不存在",""
"passed","Sun Jun 18 22:04:14 CST 2023","Sun Jun 18 22:04:14 CST 2023","3","","测试 updateThemeStateByName 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$TestUpdateThemeStateByName","test_004_UpdateThemeStateByNameWithNotExist","测试用例 - 004 输入的主题不存在",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_004_addPostWithEmptyName","测试用例 - 004 名字为空字符串",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_009_addPostWith1Picture","测试用例 - 009 图片链接长度为1",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试 addTheme 函数","","edu.tongji.plantary.circle.service.impl.ThemeServiceImplUnitTest$AddThemeTest","test_008_addThemeWithPictureMaxLength","测试用例 - 008 输入的themePicture长度等于2083",""
"passed","Sun Jun 18 22:04:13 CST 2023","Sun Jun 18 22:04:13 CST 2023","2","","测试addPost","","edu.tongji.plantary.circle.service.impl.PostServiceImplTest$TestAddPost","test_019_addPostWith1Content","测试用例 - 019 内容长度为1",""
